序号,代码,名称,最新价(元) 2026.07.03,涨跌幅(%) 2026.07.03,收盘价(日线不复权)(元) 2026.07.03,涨跌额(元) 2026.07.03,最高价(元) 2026.07.03,最低价(元) 2026.07.03,换手率(%) 2026.07.03,量比 2026.07.03,成交量(股) 2026.07.03,成交额(元) 2026.07.03,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,总市值(元) 2026.07.03,流通市值(元) 2026.07.03
250,688257,新锐股份,110.45,1.81,110.45,1.960,115.60,102.00,6.63,1.10,2351.30万,25.61亿,31.33,14.9856,391.42亿,391.42亿
251,920493,并行科技,110.37,-1.85,110.37,-2.080,113.40,109.10,2.75,0.66,122.71万,1.36亿,144.03,13.1572,66.86亿,49.27亿
252,301680,固德电材,110.08,0.45,110.08,0.490,111.70,109.02,6.96,0.56,116.94万,1.29亿,46.42,4.8848,91.15亿,18.50亿
253,300236,上海新阳,109.79,-6.41,109.79,-7.520,118.73,109.03,5.81,0.73,1619.19万,18.15亿,82.95,7.3803,344.06亿,305.82亿
254,688615,合合信息,109.50,-2.07,109.50,-2.320,112.48,108.91,3.32,0.96,448.93万,4.95亿,34.56,7.5005,214.62亿,148.20亿
255,600809,山西汾酒,109.25,0.07,109.25,0.080,110.77,108.51,0.66,0.65,810.08万,8.87亿,6.19,2.9603,1332.81亿,1332.81亿
256,301550,斯菱智驱,109.09,6.64,109.09,6.790,112.66,102.89,9.63,1.79,1976.17万,21.34亿,233.11,20.3395,365.83亿,223.91亿
257,920699,海达尔,109.01,1.69,109.01,1.810,116.00,95.00,9.34,1.08,194.95万,2.07亿,123.18,14.8800,49.74亿,22.76亿
258,688188,柏楚电子,108.69,0.78,108.69,0.840,110.88,106.01,1.06,0.87,430.96万,4.68亿,34.82,7.5206,440.80亿,440.80亿
259,300720,海川智能,108.11,-6.59,108.11,-7.630,114.58,105.36,7.51,0.68,1382.15万,15.08亿,744.24,36.4526,210.68亿,199.08亿
260,300866,安克创新,107.84,7.40,107.84,7.430,110.50,101.00,2.06,1.17,634.65万,6.87亿,33.32,6.1281,628.61亿,331.70亿
261,301095,广立微,107.38,-3.17,107.38,-3.520,111.09,103.00,8.31,0.64,1438.41万,15.45亿,-501.70,6.9328,215.06亿,185.79亿
